Country,State,District,Year,"Enrolled Trainees Under Craftsmen Training Scheme (UOM:Number), Scaling Factor:1","Institutes For Training Under Craftsmen Training Scheme Scheme (UOM:Number), Scaling Factor:1","Seating Capacity Of Training Centers (UOM:Number), Scaling Factor:1"
India,Tamil Nadu,Karur,"Financial Year (Apr - Mar), 2020",508,7,984
India,Tamil Nadu,Krishnagiri,"Financial Year (Apr - Mar), 2020",775,5,1772
India,Tamil Nadu,Madurai,"Financial Year (Apr - Mar), 2020",2092,14,4548
India,Tamil Nadu,Nagapattinam,"Financial Year (Apr - Mar), 2020",1644,16,3244
India,Tamil Nadu,Namakkal,"Financial Year (Apr - Mar), 2020",826,12,2364
India,Tamil Nadu,Perambalur,"Financial Year (Apr - Mar), 2020",572,7,1420
India,Tamil Nadu,Pudukkottai,"Financial Year (Apr - Mar), 2020",1451,16,3228
India,Tamil Nadu,Ramanathapuram,"Financial Year (Apr - Mar), 2020",977,7,2080
India,Tamil Nadu,Ranipet,"Financial Year (Apr - Mar), 2020",0,0,0
India,Tamil Nadu,Salem,"Financial Year (Apr - Mar), 2020",2539,18,4516
India,Tamil Nadu,Sivaganga,"Financial Year (Apr - Mar), 2020",888,11,2496
India,Tamil Nadu,Tenkasi,"Financial Year (Apr - Mar), 2020",0,0,0
India,Tamil Nadu,Thanjavur,"Financial Year (Apr - Mar), 2020",2372,20,5364
India,Tamil Nadu,The Nilgiris,"Financial Year (Apr - Mar), 2020",590,7,1184
India,Tamil Nadu,Theni,"Financial Year (Apr - Mar), 2020",1233,11,2448
India,Tamil Nadu,Thiruvallur,"Financial Year (Apr - Mar), 2020",1719,16,3732
India,Tamil Nadu,Thiruvarur,"Financial Year (Apr - Mar), 2020",691,12,1940
India,Tamil Nadu,Tiruchirappalli,"Financial Year (Apr - Mar), 2020",2929,24,5752
India,Tamil Nadu,Tirunelveli,"Financial Year (Apr - Mar), 2020",3233,30,6392
India,Tamil Nadu,Tirupathur,"Financial Year (Apr - Mar), 2020",0,0,0
India,Tamil Nadu,Tiruppur,"Financial Year (Apr - Mar), 2020",817,9,1944
India,Tamil Nadu,Tiruvannamalai,"Financial Year (Apr - Mar), 2020",2619,23,4076
India,Tamil Nadu,Tuticorin,"Financial Year (Apr - Mar), 2020",1739,15,3176
India,Tamil Nadu,Vellore,"Financial Year (Apr - Mar), 2020",3443,30,5788
India,Tamil Nadu,Villupuram,"Financial Year (Apr - Mar), 2020",3190,32,5296
India,Tamil Nadu,Virudhunagar,"Financial Year (Apr - Mar), 2020",1585,12,3380
India,Telangana,Adilabad,"Financial Year (Apr - Mar), 2020",641,3,832
India,Telangana,Bhadradri Kothagudem,"Financial Year (Apr - Mar), 2020",5339,23,7284
India,Telangana,Hanumakonda,"Financial Year (Apr - Mar), 2020",3141,14,4072
India,Telangana,Hyderabad,"Financial Year (Apr - Mar), 2020",3975,25,6308
India,Telangana,Jagitial,"Financial Year (Apr - Mar), 2020",439,3,576
India,Telangana,Jangoan,"Financial Year (Apr - Mar), 2020",1649,8,2816
India,Telangana,Jayashankar Bhupalapally,"Financial Year (Apr - Mar), 2020",426,4,724
India,Telangana,Jogulamba Gadwal,"Financial Year (Apr - Mar), 2020",1284,7,1784
India,Telangana,Kamareddy,"Financial Year (Apr - Mar), 2020",677,6,968
India,Telangana,Karimnagar,"Financial Year (Apr - Mar), 2020",1482,9,2464
India,Telangana,Khammam,"Financial Year (Apr - Mar), 2020",1673,9,2556
India,Telangana,Kumuram Bheem Asifabad,"Financial Year (Apr - Mar), 2020",215,1,240
India,Telangana,Mahabubabad,"Financial Year (Apr - Mar), 2020",1296,8,1816
India,Telangana,Mahabubnagar,"Financial Year (Apr - Mar), 2020",2217,13,3448
India,Telangana,Mancherial,"Financial Year (Apr - Mar), 2020",1769,11,2252
India,Telangana,Medak,"Financial Year (Apr - Mar), 2020",1405,7,1908
India,Telangana,Medchal Malkajgiri,"Financial Year (Apr - Mar), 2020",3091,16,4180
India,Telangana,Mulugu,"Financial Year (Apr - Mar), 2020",0,0,0
India,Telangana,Nagarkurnool,"Financial Year (Apr - Mar), 2020",1359,8,2084
India,Telangana,Nalgonda,"Financial Year (Apr - Mar), 2020",2223,14,3416
India,Telangana,Narayanpet,"Financial Year (Apr - Mar), 2020",0,0,0
India,Telangana,Nirmal,"Financial Year (Apr - Mar), 2020",590,3,952
India,Telangana,Nizamabad,"Financial Year (Apr - Mar), 2020",1673,9,3112
India,Telangana,Peddapalli,"Financial Year (Apr - Mar), 2020",2126,9,2616
India,Telangana,Rajanna Sircilla,"Financial Year (Apr - Mar), 2020",530,3,772
India,Telangana,Ranga Reddy,"Financial Year (Apr - Mar), 2020",3405,22,5208
India,Telangana,Sangareddy,"Financial Year (Apr - Mar), 2020",3938,18,5680
India,Telangana,Siddipet,"Financial Year (Apr - Mar), 2020",2072,10,3108
India,Telangana,Suryapet,"Financial Year (Apr - Mar), 2020",552,5,844
India,Telangana,Vikarabad,"Financial Year (Apr - Mar), 2020",754,4,956
India,Telangana,Wanaparthy,"Financial Year (Apr - Mar), 2020",680,4,712
India,Telangana,Warangal,"Financial Year (Apr - Mar), 2020",475,4,616
India,Telangana,Yadadri Bhuvanagiri,"Financial Year (Apr - Mar), 2020",2210,12,2936
India,Tripura,Dhalai,"Financial Year (Apr - Mar), 2020",694,4,1376
India,Tripura,Gomati,"Financial Year (Apr - Mar), 2020",301,2,556
India,Tripura,Khowai,"Financial Year (Apr - Mar), 2020",368,2,536
India,Tripura,North Tripura,"Financial Year (Apr - Mar), 2020",232,2,352
India,Tripura,Sepahijala,"Financial Year (Apr - Mar), 2020",386,2,752
India,Tripura,South Tripura,"Financial Year (Apr - Mar), 2020",166,2,556
India,Tripura,Unakoti,"Financial Year (Apr - Mar), 2020",316,1,420
India,Tripura,West Tripura,"Financial Year (Apr - Mar), 2020",754,6,1596
India,Uttar Pradesh,Agra,"Financial Year (Apr - Mar), 2020",18742,131,23388
India,Uttar Pradesh,Aligarh,"Financial Year (Apr - Mar), 2020",12224,68,14932
India,Uttar Pradesh,Ambedkar Nagar,"Financial Year (Apr - Mar), 2020",8388,63,10876
India,Uttar Pradesh,Amethi,"Financial Year (Apr - Mar), 2020",3290,20,5012
India,Uttar Pradesh,Amroha,"Financial Year (Apr - Mar), 2020",4955,24,7732
India,Uttar Pradesh,Auraiya,"Financial Year (Apr - Mar), 2020",2305,11,2772
India,Uttar Pradesh,Ayodhya,"Financial Year (Apr - Mar), 2020",11542,101,16496
India,Uttar Pradesh,Azamgarh,"Financial Year (Apr - Mar), 2020",20846,141,30612
India,Uttar Pradesh,Baghpat,"Financial Year (Apr - Mar), 2020",2470,17,3792
India,Uttar Pradesh,Bahraich,"Financial Year (Apr - Mar), 2020",1346,7,2568
India,Uttar Pradesh,Ballia,"Financial Year (Apr - Mar), 2020",11824,83,15624
India,Uttar Pradesh,Balrampur,"Financial Year (Apr - Mar), 2020",961,5,1336
India,Uttar Pradesh,Banda,"Financial Year (Apr - Mar), 2020",3016,12,4116
India,Uttar Pradesh,Barabanki,"Financial Year (Apr - Mar), 2020",4551,26,6436
India,Uttar Pradesh,Bareilly,"Financial Year (Apr - Mar), 2020",7346,31,9500
India,Uttar Pradesh,Basti,"Financial Year (Apr - Mar), 2020",4253,28,5712
India,Uttar Pradesh,Bhadohi,"Financial Year (Apr - Mar), 2020",3889,23,5472
India,Uttar Pradesh,Bijnor,"Financial Year (Apr - Mar), 2020",3542,20,4552
India,Uttar Pradesh,Budaun,"Financial Year (Apr - Mar), 2020",2626,13,3496
India,Uttar Pradesh,Bulandshahr,"Financial Year (Apr - Mar), 2020",6606,40,10264
India,Uttar Pradesh,Chandauli,"Financial Year (Apr - Mar), 2020",6533,43,9452
India,Uttar Pradesh,Chitrakoot,"Financial Year (Apr - Mar), 2020",1534,8,2196
India,Uttar Pradesh,Deoria,"Financial Year (Apr - Mar), 2020",11778,62,14440
India,Uttar Pradesh,Etah,"Financial Year (Apr - Mar), 2020",4471,26,5952
India,Uttar Pradesh,Etawah,"Financial Year (Apr - Mar), 2020",3476,12,4476
India,Uttar Pradesh,Farrukhabad,"Financial Year (Apr - Mar), 2020",2958,16,4088
India,Uttar Pradesh,Fatehpur,"Financial Year (Apr - Mar), 2020",4605,18,6708
India,Uttar Pradesh,Firozabad,"Financial Year (Apr - Mar), 2020",8735,42,10632
India,Uttar Pradesh,Gautam Buddha Nagar,"Financial Year (Apr - Mar), 2020",5219,29,9412
India,Uttar Pradesh,Ghaziabad,"Financial Year (Apr - Mar), 2020",5733,29,11036
India,Uttar Pradesh,Ghazipur,"Financial Year (Apr - Mar), 2020",27318,180,34712
India,Uttar Pradesh,Gonda,"Financial Year (Apr - Mar), 2020",2960,17,4216
India,Uttar Pradesh,Gorakhpur,"Financial Year (Apr - Mar), 2020",23999,139,31864
India,Uttar Pradesh,Hamirpur,"Financial Year (Apr - Mar), 2020",2170,8,3304
India,Uttar Pradesh,Hapur,"Financial Year (Apr - Mar), 2020",7661,27,10124
India,Uttar Pradesh,Hardoi,"Financial Year (Apr - Mar), 2020",2748,11,3828
India,Uttar Pradesh,Hathras,"Financial Year (Apr - Mar), 2020",8934,47,11604
India,Uttar Pradesh,Jalaun,"Financial Year (Apr - Mar), 2020",3378,17,5132
India,Uttar Pradesh,Jaunpur,"Financial Year (Apr - Mar), 2020",22092,131,31616
India,Uttar Pradesh,Jhansi,"Financial Year (Apr - Mar), 2020",12061,54,15232
India,Uttar Pradesh,Kannauj,"Financial Year (Apr - Mar), 2020",1683,6,2148
India,Uttar Pradesh,Kanpur Dehat,"Financial Year (Apr - Mar), 2020",2782,16,3636
India,Uttar Pradesh,Kanpur Nagar,"Financial Year (Apr - Mar), 2020",13909,77,18500
India,Uttar Pradesh,Kasganj,"Financial Year (Apr - Mar), 2020",5365,26,6604
India,Uttar Pradesh,Kaushambi,"Financial Year (Apr - Mar), 2020",3205,24,4744
India,Uttar Pradesh,Kheri,"Financial Year (Apr - Mar), 2020",2449,7,2808
India,Uttar Pradesh,Kushi Nagar,"Financial Year (Apr - Mar), 2020",4072,25,5740
India,Uttar Pradesh,Lalitpur,"Financial Year (Apr - Mar), 2020",2040,8,2872
India,Uttar Pradesh,Lucknow,"Financial Year (Apr - Mar), 2020",12295,70,17244
India,Uttar Pradesh,Mahoba,"Financial Year (Apr - Mar), 2020",1904,8,2280
India,Uttar Pradesh,Mahrajganj,"Financial Year (Apr - Mar), 2020",3368,18,4672
India,Uttar Pradesh,Mainpuri,"Financial Year (Apr - Mar), 2020",4053,16,5592
India,Uttar Pradesh,Mathura,"Financial Year (Apr - Mar), 2020",31994,183,39760
India,Uttar Pradesh,Mau,"Financial Year (Apr - Mar), 2020",12803,90,19052
India,Uttar Pradesh,Meerut,"Financial Year (Apr - Mar), 2020",9908,38,14740
India,Uttar Pradesh,Mirzapur,"Financial Year (Apr - Mar), 2020",13560,62,18132
India,Uttar Pradesh,Moradabad,"Financial Year (Apr - Mar), 2020",5407,22,7072
India,Uttar Pradesh,Muzaffarnagar,"Financial Year (Apr - Mar), 2020",4912,34,7292
India,Uttar Pradesh,Pilibhit,"Financial Year (Apr - Mar), 2020",2306,5,2812
India,Uttar Pradesh,Pratapgarh,"Financial Year (Apr - Mar), 2020",4450,30,5872
India,Uttar Pradesh,Prayagraj,"Financial Year (Apr - Mar), 2020",29594,197,38852
India,Uttar Pradesh,Rae Bareli,"Financial Year (Apr - Mar), 2020",3770,17,4940
India,Uttar Pradesh,Rampur,"Financial Year (Apr - Mar), 2020",2248,9,2840
India,Uttar Pradesh,Saharanpur,"Financial Year (Apr - Mar), 2020",22320,132,35416
India,Uttar Pradesh,Sambhal,"Financial Year (Apr - Mar), 2020",1260,8,1664
India,Uttar Pradesh,Sant Kabir Nagar,"Financial Year (Apr - Mar), 2020",4248,25,5936
India,Uttar Pradesh,Shahjahanpur,"Financial Year (Apr - Mar), 2020",2464,12,3428
India,Uttar Pradesh,Shamli,"Financial Year (Apr - Mar), 2020",2820,15,4120
India,Uttar Pradesh,Shrawasti,"Financial Year (Apr - Mar), 2020",595,3,1152
India,Uttar Pradesh,Siddharth Nagar,"Financial Year (Apr - Mar), 2020",1401,7,2512
India,Uttar Pradesh,Sitapur,"Financial Year (Apr - Mar), 2020",2074,11,2948
India,Uttar Pradesh,Sonbhadra,"Financial Year (Apr - Mar), 2020",8672,36,10636
India,Uttar Pradesh,Sultanpur,"Financial Year (Apr - Mar), 2020",9106,57,12740
India,Uttar Pradesh,Unnao,"Financial Year (Apr - Mar), 2020",3739,15,5352
India,Uttar Pradesh,Varanasi,"Financial Year (Apr - Mar), 2020",16202,102,25328
India,Uttarakhand,Almora,"Financial Year (Apr - Mar), 2020",180,12,1428
India,Uttarakhand,Bageshwar,"Financial Year (Apr - Mar), 2020",33,3,236
India,Uttarakhand,Chamoli,"Financial Year (Apr - Mar), 2020",153,8,664
India,Uttarakhand,Champawat,"Financial Year (Apr - Mar), 2020",109,3,384
India,Uttarakhand,Dehradun,"Financial Year (Apr - Mar), 2020",1178,31,6756
India,Uttarakhand,Haridwar,"Financial Year (Apr - Mar), 2020",3350,50,11800
India,Uttarakhand,Nainital,"Financial Year (Apr - Mar), 2020",544,20,3364
India,Uttarakhand,Pauri Garhwal,"Financial Year (Apr - Mar), 2020",405,14,2088
India,Uttarakhand,Pithoragarh,"Financial Year (Apr - Mar), 2020",230,9,1072
India,Uttarakhand,Rudra Prayag,"Financial Year (Apr - Mar), 2020",37,2,276
India,Uttarakhand,Tehri Garhwal,"Financial Year (Apr - Mar), 2020",208,10,1124
India,Uttarakhand,Udam Singh Nagar,"Financial Year (Apr - Mar), 2020",596,17,3368
India,Uttarakhand,Uttar Kashi,"Financial Year (Apr - Mar), 2020",250,7,824
India,West Bengal,Alipurduar,"Financial Year (Apr - Mar), 2020",219,2,472
India,West Bengal,Bankura,"Financial Year (Apr - Mar), 2020",3354,17,4752
India,West Bengal,Birbhum,"Financial Year (Apr - Mar), 2020",2983,14,5244
India,West Bengal,Coochbehar,"Financial Year (Apr - Mar), 2020",1357,5,1920
India,West Bengal,Dakshin Dinajpur,"Financial Year (Apr - Mar), 2020",1655,7,3032
India,West Bengal,Darjeeling,"Financial Year (Apr - Mar), 2020",881,5,1872
India,West Bengal,Hooghly,"Financial Year (Apr - Mar), 2020",3099,18,6128
India,West Bengal,Howrah,"Financial Year (Apr - Mar), 2020",2408,10,3928
India,West Bengal,Jalpaiguri,"Financial Year (Apr - Mar), 2020",955,5,1980
India,West Bengal,Jhargram,"Financial Year (Apr - Mar), 2020",1535,6,2336
India,West Bengal,Kalimpong,"Financial Year (Apr - Mar), 2020",14,1,68
India,West Bengal,Kolkata,"Financial Year (Apr - Mar), 2020",2448,7,4640
India,West Bengal,Malda,"Financial Year (Apr - Mar), 2020",1142,4,1900
India,West Bengal,Murshidabad,"Financial Year (Apr - Mar), 2020",1519,9,3540
India,West Bengal,Nadia,"Financial Year (Apr - Mar), 2020",4863,20,8464
India,West Bengal,North 24 Parganas,"Financial Year (Apr - Mar), 2020",4037,24,7400
India,West Bengal,Paschim Bardhaman,"Financial Year (Apr - Mar), 2020",3217,17,6260
India,West Bengal,Paschim Medinipur,"Financial Year (Apr - Mar), 2020",3425,18,5884
India,West Bengal,Purba Bardhaman,"Financial Year (Apr - Mar), 2020",4364,22,7336
India,West Bengal,Purba Medinipur,"Financial Year (Apr - Mar), 2020",1647,14,3576
India,West Bengal,Purulia,"Financial Year (Apr - Mar), 2020",2571,14,4184
India,West Bengal,South 24 Parganas,"Financial Year (Apr - Mar), 2020",4062,22,7068
India,West Bengal,Uttar Dinajpur,"Financial Year (Apr - Mar), 2020",1086,5,2956
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2019",3072,21,4492
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2019",4963,3,3740
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2019",555,23,7492
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2019",1535,3,4884
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2019",1347,0,648
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2019",0,14,0
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2019",3693,5,2708
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2019",461,22,1168
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2019",0,4,7168
India,Andhra Pradesh,Prakasam,"Financial Year (Apr - Mar), 2019",1938,0,0
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Financial Year (Apr - Mar), 2019",0,0,808
India,Andhra Pradesh,Srikakulam,"Financial Year (Apr - Mar), 2019",615,0,0
India,Andhra Pradesh,Visakhapatnam,"Financial Year (Apr - Mar), 2019",6087,0,0
India,Andhra Pradesh,Vizianagaram,"Financial Year (Apr - Mar), 2019",716,3,0
India,Andhra Pradesh,West Godavari,"Financial Year (Apr - Mar), 2019",0,14,3200
India,Andhra Pradesh,Y.S.R.,"Financial Year (Apr - Mar), 2019",20,0,0
India,Arunachal Pradesh,Anjaw,"Financial Year (Apr - Mar), 2019",4444,7,2568
India,Arunachal Pradesh,Changlang,"Financial Year (Apr - Mar), 2019",0,2,344
India,Arunachal Pradesh,Dibang Valley,"Financial Year (Apr - Mar), 2019",2792,2,396
India,Arunachal Pradesh,East Kameng,"Financial Year (Apr - Mar), 2019",1620,43,8776
India,Arunachal Pradesh,East Siang,"Financial Year (Apr - Mar), 2019",4336,27,5768
India,Arunachal Pradesh,Kamle,"Financial Year (Apr - Mar), 2019",2622,35,7284
India,Arunachal Pradesh,Kra Daadi,"Financial Year (Apr - Mar), 2019",5207,101,16556
India,Arunachal Pradesh,Kurung Kumey,"Financial Year (Apr - Mar), 2019",6007,18,3152
India,Arunachal Pradesh,Leparada,"Financial Year (Apr - Mar), 2019",6523,16,3064
India,Arunachal Pradesh,Lohit,"Financial Year (Apr - Mar), 2019",779,6,1164
India,Arunachal Pradesh,Longding,"Financial Year (Apr - Mar), 2019",3161,12,4460
India,Arunachal Pradesh,Lower Dibang Valley,"Financial Year (Apr - Mar), 2019",2011,7,824
India,Arunachal Pradesh,Lower Siang,"Financial Year (Apr - Mar), 2019",5066,17,4892
India,Arunachal Pradesh,Lower Subansiri,"Financial Year (Apr - Mar), 2019",4702,12,6052
India,Arunachal Pradesh,Namsai,"Financial Year (Apr - Mar), 2019",2020,78,19264
India,Arunachal Pradesh,Pakke Kessang,"Financial Year (Apr - Mar), 2019",5151,39,9080
India,Arunachal Pradesh,Papum Pare,"Financial Year (Apr - Mar), 2019",4498,24,6324
India,Arunachal Pradesh,Shi Yomi,"Financial Year (Apr - Mar), 2019",670,37,7224
India,Arunachal Pradesh,Siang,"Financial Year (Apr - Mar), 2019",3188,25,4904
India,Arunachal Pradesh,Tawang,"Financial Year (Apr - Mar), 2019",1687,15,6028
India,Arunachal Pradesh,Tirap,"Financial Year (Apr - Mar), 2019",13142,46,5812
India,Arunachal Pradesh,Upper Siang,"Financial Year (Apr - Mar), 2019",2801,28,4964
India,Arunachal Pradesh,Upper Subansiri,"Financial Year (Apr - Mar), 2019",8324,62,11300
India,Arunachal Pradesh,West Kameng,"Financial Year (Apr - Mar), 2019",22959,48,11244
India,Arunachal Pradesh,West Siang,"Financial Year (Apr - Mar), 2019",2637,11,2812
India,Assam,Baksa,"Financial Year (Apr - Mar), 2019",1083,5,3392
India,Assam,Barpeta,"Financial Year (Apr - Mar), 2019",0,0,0
India,Assam,Biswanath,"Financial Year (Apr - Mar), 2019",5152,46,2596
India,Assam,Bongaigaon,"Financial Year (Apr - Mar), 2019",6,1,40
India,Assam,Cachar,"Financial Year (Apr - Mar), 2019",378,3,88
India,Assam,Charaideo,"Financial Year (Apr - Mar), 2019",13628,69,20044
India,Assam,Chirang,"Financial Year (Apr - Mar), 2019",2464,9,1124
India,Assam,Darrang,"Financial Year (Apr - Mar), 2019",2599,2,156
India,Assam,Dhemaji,"Financial Year (Apr - Mar), 2019",1241,1,180
India,Assam,Dhubri,"Financial Year (Apr - Mar), 2019",5820,27,2952
India,Assam,Dibrugarh,"Financial Year (Apr - Mar), 2019",11375,5,3500
India,Assam,Dima Hasao,"Financial Year (Apr - Mar), 2019",4502,25,4844
India,Assam,Goalpara,"Financial Year (Apr - Mar), 2019",9330,2,3548
India,Assam,Golaghat,"Financial Year (Apr - Mar), 2019",327,23,1772
India,Assam,Hailakandi,"Financial Year (Apr - Mar), 2019",1172,17,2432
India,Assam,Hojai,"Financial Year (Apr - Mar), 2019",8069,63,30408
India,Assam,Jorhat,"Financial Year (Apr - Mar), 2019",845,3,568
India,Assam,Kamrup,"Financial Year (Apr - Mar), 2019",652,33,1552
India,Assam,Kamrup Metro,"Financial Year (Apr - Mar), 2019",5137,39,5740
India,Assam,Karbi Anglong,"Financial Year (Apr - Mar), 2019",3689,1,5524
India,Assam,Karimganj,"Financial Year (Apr - Mar), 2019",431,37,4104
India,Assam,Kokrajhar,"Financial Year (Apr - Mar), 2019",849,7,13120
India,Assam,Lakhimpur,"Financial Year (Apr - Mar), 2019",1048,8,912
India,Assam,Majuli,"Financial Year (Apr - Mar), 2019",5230,54,16616
India,Assam,Marigaon,"Financial Year (Apr - Mar), 2019",2618,34,3268
India,Assam,Nagaon,"Financial Year (Apr - Mar), 2019",154,3,964
India,Assam,Nalbari,"Financial Year (Apr - Mar), 2019",3195,26,136
India,Assam,Sivasagar,"Financial Year (Apr - Mar), 2019",1790,20,2652
India,Assam,Sonitpur,"Financial Year (Apr - Mar), 2019",693,9,7856
India,Assam,South Salmara Mancachar,"Financial Year (Apr - Mar), 2019",3828,22,5236
India,Assam,Tinsukia,"Financial Year (Apr - Mar), 2019",2109,10,9640
India,Assam,Udalguri,"Financial Year (Apr - Mar), 2019",18897,133,7984
India,Assam,West Karbi Anglong,"Financial Year (Apr - Mar), 2019",12772,85,3792
India,Bihar,Araria,"Financial Year (Apr - Mar), 2019",4090,34,5832
India,Bihar,Arwal,"Financial Year (Apr - Mar), 2019",6646,12,14292
India,Bihar,Aurangabad,"Financial Year (Apr - Mar), 2019",4509,59,6168
India,Bihar,Banka,"Financial Year (Apr - Mar), 2019",2504,28,3776
India,Bihar,Begusarai,"Financial Year (Apr - Mar), 2019",3520,8,5232
India,Bihar,Bhagalpur,"Financial Year (Apr - Mar), 2019",1819,17,2332
India,Bihar,Bhojpur,"Financial Year (Apr - Mar), 2019",3970,135,8216
India,Bihar,Buxar,"Financial Year (Apr - Mar), 2019",674,28,1444
India,Bihar,Darbhanga,"Financial Year (Apr - Mar), 2019",11325,8,17944
India,Bihar,Gaya,"Financial Year (Apr - Mar), 2019",1182,43,1912
India,Bihar,Gopalganj,"Financial Year (Apr - Mar), 2019",7605,26,9692
India,Bihar,Jamui,"Financial Year (Apr - Mar), 2019",12387,8,14532
India,Bihar,Jehanabad,"Financial Year (Apr - Mar), 2019",6080,93,9628
India,Bihar,Kaimur (Bhabua),"Financial Year (Apr - Mar), 2019",29802,23,34872
India,Bihar,Katihar,"Financial Year (Apr - Mar), 2019",10822,15,14740
India,Bihar,Khagaria,"Financial Year (Apr - Mar), 2019",5780,53,7192
India,Bihar,Kishanganj,"Financial Year (Apr - Mar), 2019",2472,7,2816
India,Bihar,Lakhisarai,"Financial Year (Apr - Mar), 2019",5024,12,6416
India,Bihar,Madhepura,"Financial Year (Apr - Mar), 2019",1929,61,3104
India,Bihar,Madhubani,"Financial Year (Apr - Mar), 2019",392,1,640
India,Bihar,Munger,"Financial Year (Apr - Mar), 2019",5873,0,6828
India,Bihar,Muzaffarpur,"Financial Year (Apr - Mar), 2019",34722,0,45908
India,Bihar,Nalanda,"Financial Year (Apr - Mar), 2019",297,0,480
India,Bihar,Nawada,"Financial Year (Apr - Mar), 2019",134,1,248
India,Bihar,Pashchim Champaran,"Financial Year (Apr - Mar), 2019",0,0,0
India,Bihar,Patna,"Financial Year (Apr - Mar), 2019",0,0,72
India,Bihar,Purbi Champaran,"Financial Year (Apr - Mar), 2019",721,2,1056
India,Bihar,Purnia,"Financial Year (Apr - Mar), 2019",184,1,468
India,Bihar,Rohtas,"Financial Year (Apr - Mar), 2019",0,25,0
India,Bihar,Saharsa,"Financial Year (Apr - Mar), 2019",150,5,472
India,Bihar,Samastipur,"Financial Year (Apr - Mar), 2019",93,16,532
India,Bihar,Saran,"Financial Year (Apr - Mar), 2019",4389,6,6128
India,Bihar,Sheikhpura,"Financial Year (Apr - Mar), 2019",3399,4,4404
India,Bihar,Sheohar,"Financial Year (Apr - Mar), 2019",1553,10,2456
India,Bihar,Sitamarhi,"Financial Year (Apr - Mar), 2019",3297,39,5028
India,Bihar,Siwan,"Financial Year (Apr - Mar), 2019",324,21,828
India,Bihar,Supaul,"Financial Year (Apr - Mar), 2019",96,4,340
India,Bihar,Vaishali,"Financial Year (Apr - Mar), 2019",3979,22,9288
India,Chandigarh,Chandigarh,"Financial Year (Apr - Mar), 2019",2975,22,5684
India,Delhi,Central,"Financial Year (Apr - Mar), 2019",833,3,976
India,Delhi,East,"Financial Year (Apr - Mar), 2019",1047,10,3748
India,Delhi,New Delhi,"Financial Year (Apr - Mar), 2019",185,17,6780
India,Delhi,North,"Financial Year (Apr - Mar), 2019",848,34,8608
India,Delhi,North East,"Financial Year (Apr - Mar), 2019",2907,19,6656
India,Delhi,North West,"Financial Year (Apr - Mar), 2019",6127,11,2524
India,Delhi,Shahdara,"Financial Year (Apr - Mar), 2019",433,15,1884
India,Delhi,South,"Financial Year (Apr - Mar), 2019",5123,19,4756
India,Delhi,South East,"Financial Year (Apr - Mar), 2019",1316,7,1040
India,Delhi,South West,"Financial Year (Apr - Mar), 2019",739,17,3728
India,Delhi,West,"Financial Year (Apr - Mar), 2019",475,17,2028
India,Goa,North Goa,"Financial Year (Apr - Mar), 2019",0,13,10044
India,Goa,South Goa,"Financial Year (Apr - Mar), 2019",1044,11,5340
India,Gujarat,Ahmadabad,"Financial Year (Apr - Mar), 2019",253,33,2600
India,Gujarat,Amreli,"Financial Year (Apr - Mar), 2019",0,12,4276
India,Gujarat,Anand,"Financial Year (Apr - Mar), 2019",5185,8,1732
India,Gujarat,Arvalli,"Financial Year (Apr - Mar), 2019",1392,31,6644
India,Gujarat,Banas Kantha,"Financial Year (Apr - Mar), 2019",1709,21,872
India,Gujarat,Bharuch,"Financial Year (Apr - Mar), 2019",3658,24,5320
India,Gujarat,Bhavnagar,"Financial Year (Apr - Mar), 2019",1906,1,6868
India,Gujarat,Botad,"Financial Year (Apr - Mar), 2019",1892,3,4836
India,Gujarat,Chhotaudepur,"Financial Year (Apr - Mar), 2019",2169,28,164
India,Gujarat,Dang,"Financial Year (Apr - Mar), 2019",4160,11,328
India,Gujarat,Devbhumi Dwarka,"Financial Year (Apr - Mar), 2019",18,10,400
India,Gujarat,Dohad,"Financial Year (Apr - Mar), 2019",4628,21,4828
India,Gujarat,Gandhinagar,"Financial Year (Apr - Mar), 2019",4566,88,12984
India,Gujarat,Gir Somnath,"Financial Year (Apr - Mar), 2019",21,18,1108
India,Gujarat,Jamnagar,"Financial Year (Apr - Mar), 2019",813,6,23680
India,Gujarat,Junagadh,"Financial Year (Apr - Mar), 2019",6530,3,1792
India,Gujarat,Kachchh,"Financial Year (Apr - Mar), 2019",3373,16,944
India,Gujarat,Kheda,"Financial Year (Apr - Mar), 2019",1603,11,3944
India,Gujarat,Mahesana,"Financial Year (Apr - Mar), 2019",1667,22,3112
India,Gujarat,Mahisagar,"Financial Year (Apr - Mar), 2019",172,27,4104
India,Gujarat,Morbi,"Financial Year (Apr - Mar), 2019",1240,6,3236
